voltage,capacitance
0.000e+00,1.00e-09
1.000e-01,9.53e-10
2.000e-01,9.13e-10
3.000e-01,8.77e-10
4.000e-01,8.45e-10
5.000e-01,8.16e-10
6.000e-01,7.91e-10
7.000e-01,7.67e-10
8.000e-01,7.45e-10
9.000e-01,7.25e-10
1.000e+00,7.07e-10
1.100e+00,6.90e-10
1.200e+00,6.74e-10
1.300e+00,6.59e-10
1.400e+00,6.45e-10
1.500e+00,6.32e-10
1.600e+00,6.20e-10
1.700e+00,6.09e-10
1.800e+00,5.98e-10
1.900e+00,5.87e-10
2.000e+00,5.77e-10
2.100e+00,5.68e-10
2.200e+00,5.59e-10
2.300e+00,5.50e-10
2.400e+00,5.42e-10
2.500e+00,5.35e-10
2.600e+00,5.27e-10
2.700e+00,5.20e-10
2.800e+00,5.13e-10
2.900e+00,5.06e-10
3.000e+00,5.00e-10
3.100e+00,4.94e-10
3.200e+00,4.88e-10
3.300e+00,4.82e-10
3.400e+00,4.77e-10
3.500e+00,4.71e-10
3.600e+00,4.66e-10
3.700e+00,4.61e-10
3.800e+00,4.56e-10
3.900e+00,4.52e-10
4.000e+00,4.47e-10
4.100e+00,4.43e-10
4.200e+00,4.39e-10
4.300e+00,4.34e-10
4.400e+00,4.30e-10
4.500e+00,4.26e-10
4.600e+00,4.23e-10
4.700e+00,4.19e-10
4.800e+00,4.15e-10
4.900e+00,4.12e-10
5.000e+00,4.08e-10
5.100e+00,4.05e-10
5.200e+00,4.02e-10
5.300e+00,3.98e-10
5.400e+00,3.95e-10
5.500e+00,3.92e-10
5.600e+00,3.89e-10
5.700e+00,3.86e-10
5.800e+00,3.83e-10
5.900e+00,3.81e-10
6.000e+00,3.78e-10
6.100e+00,3.75e-10
6.200e+00,3.73e-10
6.300e+00,3.70e-10
6.400e+00,3.68e-10
6.500e+00,3.65e-10
6.600e+00,3.63e-10
6.700e+00,3.60e-10
6.800e+00,3.58e-10
6.900e+00,3.56e-10
7.000e+00,3.54e-10
7.100e+00,3.51e-10
7.200e+00,3.49e-10
7.300e+00,3.47e-10
7.400e+00,3.45e-10
7.500e+00,3.43e-10
7.600e+00,3.41e-10
7.700e+00,3.39e-10
7.800e+00,3.37e-10
7.900e+00,3.35e-10
8.000e+00,3.33e-10
8.100e+00,3.31e-10
8.200e+00,3.30e-10
8.300e+00,3.28e-10
8.400e+00,3.26e-10
8.500e+00,3.24e-10
8.600e+00,3.23e-10
8.700e+00,3.21e-10
8.800e+00,3.19e-10
8.900e+00,3.18e-10
9.000e+00,3.16e-10
9.100e+00,3.15e-10
9.200e+00,3.13e-10
9.300e+00,3.12e-10
9.400e+00,3.10e-10
9.500e+00,3.09e-10
9.600e+00,3.07e-10
9.700e+00,3.06e-10
9.800e+00,3.04e-10
9.900e+00,3.03e-10
1.000e+01,3.02e-10
1.010e+01,3.00e-10
1.020e+01,2.99e-10
1.030e+01,2.97e-10
1.040e+01,2.96e-10
1.050e+01,2.95e-10
1.060e+01,2.94e-10
1.070e+01,2.92e-10
1.080e+01,2.91e-10
1.090e+01,2.90e-10
1.100e+01,2.89e-10
1.110e+01,2.87e-10
1.120e+01,2.86e-10
1.130e+01,2.85e-10
1.140e+01,2.84e-10
1.150e+01,2.83e-10
1.160e+01,2.82e-10
1.170e+01,2.81e-10
1.180e+01,2.80e-10
1.190e+01,2.78e-10
1.200e+01,2.77e-10
1.210e+01,2.76e-10
1.220e+01,2.75e-10
1.230e+01,2.74e-10
1.240e+01,2.73e-10
1.250e+01,2.72e-10
1.260e+01,2.71e-10
1.270e+01,2.70e-10
1.280e+01,2.69e-10
1.290e+01,2.68e-10
1.300e+01,2.67e-10
1.310e+01,2.66e-10
1.320e+01,2.65e-10
1.330e+01,2.64e-10
1.340e+01,2.64e-10
1.350e+01,2.63e-10
1.360e+01,2.62e-10
1.370e+01,2.61e-10
1.380e+01,2.60e-10
1.390e+01,2.59e-10
1.400e+01,2.58e-10
1.410e+01,2.57e-10
1.420e+01,2.56e-10
1.430e+01,2.56e-10
1.440e+01,2.55e-10
1.450e+01,2.54e-10
1.460e+01,2.53e-10
1.470e+01,2.52e-10
1.480e+01,2.52e-10
1.490e+01,2.51e-10
1.500e+01,2.50e-10
1.510e+01,2.49e-10
1.520e+01,2.48e-10
1.530e+01,2.48e-10
1.540e+01,2.47e-10
1.550e+01,2.46e-10
1.560e+01,2.45e-10
1.570e+01,2.45e-10
1.580e+01,2.44e-10
1.590e+01,2.43e-10
1.600e+01,2.43e-10
1.610e+01,2.42e-10
1.620e+01,2.41e-10
1.630e+01,2.40e-10
1.640e+01,2.40e-10
1.650e+01,2.39e-10
1.660e+01,2.38e-10
1.670e+01,2.38e-10
1.680e+01,2.37e-10
1.690e+01,2.36e-10
1.700e+01,2.36e-10
1.710e+01,2.35e-10
1.720e+01,2.34e-10
1.730e+01,2.34e-10
1.740e+01,2.33e-10
1.750e+01,2.32e-10
1.760e+01,2.32e-10
1.770e+01,2.31e-10
1.780e+01,2.31e-10
1.790e+01,2.30e-10
1.800e+01,2.29e-10
1.810e+01,2.29e-10
1.820e+01,2.28e-10
1.830e+01,2.28e-10
1.840e+01,2.27e-10
1.850e+01,2.26e-10
1.860e+01,2.26e-10
1.870e+01,2.25e-10
1.880e+01,2.25e-10
1.890e+01,2.24e-10
1.900e+01,2.24e-10
1.910e+01,2.23e-10
1.920e+01,2.22e-10
1.930e+01,2.22e-10
1.940e+01,2.21e-10
1.950e+01,2.21e-10
1.960e+01,2.20e-10
1.970e+01,2.20e-10
1.980e+01,2.19e-10
1.990e+01,2.19e-10
2.000e+01,2.18e-10